姓名,性別,出生年次,選舉類型,區域,推薦政黨,得票數,得票率,當選註記,是否現任
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第二選區,親民黨,3789,22.60%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第二選區,無,7239,30.74%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第02選區,中國國民黨,6030,29.34%,*,是
張阿梅,女,1949,"1998-87年縣市議員選舉 > 區域",基隆市第2選區,中國國民黨,1799,10.81%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第二選區,中國國民黨,733,4.37%,,否
莊榮欽,男,1957,"1998-87年縣市議員選舉 > 區域",基隆市第3選區,中國國民黨,3138,16.19%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第三選區,中國國民黨,2406,14.08%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第三選區,中國國民黨,4248,17.93%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第03選區,中國國民黨,3257,17.23%,*,是
林文祺,男,1956,"1998-87年縣市議員選舉 > 區域",基隆市第3選區,中國國民黨,2387,12.31%,,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第三選區,無,2111,12.35%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第三選區,無,2097,8.85%,,否
藍正宗,男,1963,"1998-87年縣市議員選舉 > 區域",基隆市第3選區,中國國民黨,1917,9.89%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第三選區,親民黨,2116,12.38%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第三選區,親民黨,2646,11.17%,,否
張芳麗,女,1952,"1998-87年縣市議員選舉 > 區域",基隆市第3選區,中國國民黨,3297,17.01%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第三選區,中國國民黨,1964,11.49%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第三選區,中國國民黨,2559,10.80%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第03選區,中國國民黨,3069,16.23%,*,是
張錦煌,男,1955,"1998-87年縣市議員選舉 > 區域",基隆市第4選區,民主進步黨,2469,12.80%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第四選區,民主進步黨,4150,22.09%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第四選區,民主進步黨,3667,14.35%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第04選區,民主進步黨,5069,22.70%,*,是
施世明,男,1952,"1998-87年縣市議員選舉 > 區域",基隆市第4選區,民主進步黨,2808,14.55%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第四選區,民主進步黨,3177,16.91%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第四選區,民主進步黨,3516,13.76%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第04選區,民主進步黨,3953,17.70%,*,是
馬重五,男,1940,"1998-87年縣市議員選舉 > 區域",基隆市第4選區,中國國民黨,3223,16.70%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第四選區,中國國民黨,2192,11.67%,,是
游秋臨,男,1947,"1998-87年縣市議員選舉 > 區域",基隆市第4選區,中國國民黨,2552,13.23%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第四選區,中國國民黨,2768,14.73%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第四選區,中國國民黨,2577,10.09%,,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第04選區,中國國民黨,2020,9.04%,,否
沈義傳,男,1949,"1998-87年縣市議員選舉 > 區域",基隆市第5選區,中國國民黨,2188,8.83%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,3209,12.69%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,2750,7.07%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第05選區,中國國民黨,3687,10.79%,*,是
陳建雄,男,1956,"1998-87年縣市議員選舉 > 區域",基隆市第5選區,民主進步黨,1633,6.59%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,民主進步黨,1580,6.25%,,是
杜張秀鳳,女,1952,"1998-87年縣市議員選舉 > 區域",基隆市第5選區,中國國民黨,2171,8.76%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,2127,8.41%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,2095,5.39%,,是
張銘傑,男,1950,"1998-87年縣市議員選舉 > 區域",基隆市第5選區,中國國民黨,1282,5.18%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,2228,8.81%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,2034,5.23%,,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第05選區,中國國民黨,1116,3.26%,,否
秦鉦,男,1953,"1998-87年縣市議員選舉 > 區域",基隆市第5選區,中國國民黨,1402,5.66%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,親民黨,2497,9.88%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,親民黨,3290,8.46%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第05選區,中國國民黨,2929,8.57%,*,是
蔡信雄,男,1940,"1998-87年縣市議員選舉 > 區域",基隆市第5選區,中國國民黨,538,2.17%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,無,575,2.27%,,否
陳志成,男,1950,"1998-87年縣市議員選舉 > 區域",基隆市第5選區,民主進步黨,1813,7.32%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,民主進步黨,2231,8.82%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,民主進步黨,2374,6.10%,,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第05選區,民主進步黨,3529,10.32%,*,否
鄭林清良,女,1948,"1998-87年縣市議員選舉 > 區域",基隆市第5選區,中國國民黨,4449,17.96%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,3977,15.73%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,5324,13.69%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第05選區,中國國民黨,2683,7.85%,!,是
黃景泰,男,1965,"1998-87年縣市議員選舉 > 區域",基隆市第6選區,中國國民黨,3128,23.07%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第六選區,中國國民黨,3651,28.76%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第六選區,中國國民黨,4457,26.03%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第06選區,中國國民黨,4199,26.95%,*,是
陳建興,男,1955,"1998-87年縣市議員選舉 > 區域",基隆市第6選區,中國國民黨,1908,14.07%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第六選區,無,577,4.55%,,否
-,-,-,2010-99年村里長選舉,基隆市暖暖區暖暖里,中國國民黨,645,84.20%,*,是
鄭怡信,男,1955,"1998-87年縣市議員選舉 > 區域",基隆市第6選區,中國國民黨,3050,22.49%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第六選區,中國國民黨,2943,23.18%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第六選區,無,3266,19.07%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第06選區,中國國民黨,3007,19.30%,,是
鄭可熙,男,1955,"1998-87年縣市議員選舉 > 區域",基隆市第6選區,中國國民黨,2461,18.15%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第六選區,中國國民黨,2773,21.84%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第六選區,中國國民黨,3238,18.91%,,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第06選區,無黨籍及未經政黨推薦,4136,26.54%,*,否
林金水,男,1955,"1998-87年縣市議員選舉 > 區域",基隆市第6選區,無,2230,16.45%,,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第六選區,民主進步黨,2751,21.67%,,否
-,-,-,2010-99年鄉鎮市民代表選舉,彰化縣芬園鄉第01選舉區,無,930,24.97%,*,是
蘇仁和,男,1954,"1998-87年縣市議員選舉 > 區域",基隆市第7選區,民主進步黨,2848,14.36%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第07選區,民主進步黨,4733,22.42%,*,否
張阿月,女,1938,"1998-87年縣市議員選舉 > 區域",基隆市第7選區,中國國民黨,3207,16.18%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第七選區,中國國民黨,806,4.12%,,是
蔡世鈴,男,1954,"1998-87年縣市議員選舉 > 區域",基隆市第7選區,中國國民黨,2613,13.18%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第七選區,中國國民黨,1804,9.23%,,否
鄭貴元,男,1952,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,民主進步黨,2408,6.43%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,民主進步黨,2313,6.63%,*,是
-,-,-,2005-94年縣市長選舉,新竹市,民主進步黨,49777,30.73%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,無黨籍及未經政黨推薦,2311,4.34%,,否
羅文熾,男,1954,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,中國國民黨,2988,7.98%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,無,2277,4.33%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,無黨籍及未經政黨推薦,2807,5.27%,*,是
曾仁宗,男,1963,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,中國國民黨,1198,3.20%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,中國國民黨,2140,6.14%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,中國國民黨,2301,4.38%,,是
鄭劉淑妹,女,1947,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,中國國民黨,3811,10.18%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,中國國民黨,1824,5.23%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,中國國民黨,3092,5.88%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,中國國民黨,1965,3.69%,,是
謝希誠,男,1962,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,中國國民黨,1576,4.21%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,中國國民黨,3786,7.20%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,中國國民黨,2798,5.25%,*,是
張祖琰,女,1951,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,新黨,2393,6.39%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,新黨,1926,5.52%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,中國國民黨,6209,11.81%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,中國國民黨,3916,7.36%,*,是
余泉霖,男,1948,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,無,3111,8.31%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,無,2187,6.27%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,無,2776,5.28%,*,是
鄭宏輝,男,1969,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,民主進步黨,3044,8.13%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,民主進步黨,2436,6.99%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,民主進步黨,3624,6.89%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",新竹市第01選區,民主進步黨,62334,38.12%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,民主進步黨,4799,9.02%,*,是
陳文正,男,1946,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,無,1765,4.72%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,無,2237,6.42%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,無,2716,5.17%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,無黨籍及未經政黨推薦,3246,6.10%,*,是
鍾淑英,女,1956,"1998-87年縣市議員選舉 > 區域",新竹市第1選區,中國國民黨,3846,10.28%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,親民黨,3151,9.04%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,無,3636,6.92%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,中國國民黨,3195,6.00%,*,是
宋金海,男,1947,"1998-87年縣市議員選舉 > 區域",新竹市第2選區,中國國民黨,2530,15.36%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第二選區,中國國民黨,2653,17.46%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第二選區,中國國民黨,3494,17.23%,*,是
徐信芳,男,1948,"1998-87年縣市議員選舉 > 區域",新竹市第2選區,中國國民黨,2628,15.96%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第二選區,中國國民黨,2817,18.54%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第二選區,中國國民黨,4349,21.44%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第02選區,中國國民黨,3242,15.80%,,是
林建宏,男,1950,"1998-87年縣市議員選舉 > 區域",新竹市第2選區,無,1691,10.27%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第二選區,親民黨,1748,11.51%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第02選區,無黨籍及未經政黨推薦,441,2.14%,,否
古榮政,男,1947,"1998-87年縣市議員選舉 > 區域",新竹市第2選區,民主進步黨,2050,12.45%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,民主進步黨,1525,4.37%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,民主進步黨,3045,5.79%,*,否
曾義豐,男,1947,"1998-87年縣市議員選舉 > 區域",新竹市第2選區,無,2679,16.26%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",新竹市選舉區,無,1001,0.83%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第二選區,台灣團結聯盟,2535,16.69%,,是
鄭正宗,男,1948,"1998-87年縣市議員選舉 > 區域",新竹市第3選區,民主進步黨,3352,26.36%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第三選區,民主進步黨,2458,23.13%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第三選區,民主進步黨,4008,29.29%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第03選區,民主進步黨,3885,28.73%,*,是
陳憲聰,男,1954,"1998-87年縣市議員選舉 > 區域",新竹市第3選區,中國國民黨,2211,17.39%,,是
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",新竹市選舉區,中國國民黨,6592,4.07%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第三選區,台灣團結聯盟,1502,14.14%,,否
駱克銘,男,1946,"1998-87年縣市議員選舉 > 區域",新竹市第3選區,中國國民黨,2685,21.11%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第三選區,中國國民黨,2172,20.44%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第三選區,中國國民黨,3929,28.71%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第03選區,中國國民黨,3320,24.55%,*,是
呂於台,男,1951,"1998-87年縣市議員選舉 > 區域",新竹市第3選區,中國國民黨,3089,24.29%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第三選區,中國國民黨,2137,20.11%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第三選區,中國國民黨,3603,26.33%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第03選區,中國國民黨,2348,17.36%,*,是
陳清全,男,1949,"1998-87年縣市議員選舉 > 區域",新竹市第3選區,無,1380,10.85%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,1745,5.28%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,無,2695,5.84%,,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,無黨籍及未經政黨推薦,3754,7.78%,*,否
李黃錦燕,女,1948,"1998-87年縣市議員選舉 > 區域",新竹市第4選區,中國國民黨,3786,15.50%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,中國國民黨,1336,4.04%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,中國國民黨,3096,6.71%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,中國國民黨,2735,5.67%,,是
謝文進,男,1954,"1998-87年縣市議員選舉 > 區域",新竹市第4選區,無,4511,18.47%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,2613,7.90%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,無,3688,7.99%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,無黨籍及未經政黨推薦,5017,10.40%,*,是
林堅強,男,1951,"1998-87年縣市議員選舉 > 區域",新竹市第4選區,中國國民黨,2570,10.52%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,中國國民黨,1723,5.21%,,是
彭昆耀,男,1951,"1998-87年縣市議員選舉 > 區域",新竹市第4選區,無,3041,12.45%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,3410,10.31%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,無,2365,5.13%,,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,無黨籍及未經政黨推薦,5442,11.28%,*,否
鄭欽耀,男,1946,"1998-87年縣市議員選舉 > 區域",新竹市第4選區,無,1454,5.95%,,否
-,-,-,2010-99年村里長選舉,新竹市北區北門里,無,239,59.16%,*,是
林飛鵬,男,1953,"1998-87年縣市議員選舉 > 區域",新竹市第4選區,民主進步黨,2618,10.72%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,民主進步黨,1370,4.14%,,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,民主進步黨,2866,6.21%,,否
蕭志潔,女,1960,"1998-87年縣市議員選舉 > 區域",新竹市第4選區,中國國民黨,3508,14.36%,*,是
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",新竹市選舉區,中國國民黨,10478,6.48%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,1148,3.47%,,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,親民黨,2358,5.11%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,無黨籍及未經政黨推薦,2870,5.95%,*,否
陳明錦,女,1939,"1998-87年縣市議員選舉 > 區域",新竹市第5選區,中國國民黨,2546,10.40%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第五選區,中國國民黨,2055,8.68%,*,是
蔡進國,男,1956,"1998-87年縣市議員選舉 > 區域",新竹市第5選區,無,706,2.88%,,否
-,-,-,2010-99年村里長選舉,新竹市香山區香山里,無,575,46.90%,,否
林耕仁,男,1960,"1998-87年縣市議員選舉 > 區域",新竹市第5選區,中國國民黨,2953,12.06%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第五選區,中國國民黨,3912,16.52%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第五選區,中國國民黨,5422,18.88%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第05選區,中國國民黨,4417,14.09%,*,是
王明魁,男,1939,"1998-87年縣市議員選舉 > 區域",新竹市第5選區,中國國民黨,3455,14.11%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第五選區,中國國民黨,3818,16.13%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第五選區,中國國民黨,3418,11.90%,*,是
張憲堂,男,1945,"1998-87年縣市議員選舉 > 區域",新竹市第5選區,無,1205,4.92%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第五選區,無,1208,5.10%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第05選區,無黨籍及未經政黨推薦,412,1.31%,,否
吳漢奇,男,1943,"1998-87年縣市議員選舉 > 區域",新竹市第5選區,無,666,2.72%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第五選區,無,401,1.69%,,否
鄭成光,男,1949,"1998-87年縣市議員選舉 > 區域",新竹市第5選區,中國國民黨,3854,15.74%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第五選區,無,3005,12.69%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第五選區,無,4248,14.79%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第05選區,中國國民黨,3589,11.44%,*,是
林漢淇,男,1954,"1998-87年縣市議員選舉 > 區域",新竹市第5選區,民主進步黨,3235,13.21%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",新竹市第五選區,民主進步黨,2695,11.38%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第五選區,民主進步黨,4332,15.08%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第05選區,民主進步黨,4481,14.29%,*,是
江正吉,男,1945,"1998-87年縣市議員選舉 > 區域",臺中市第1選區,中國國民黨,5991,12.36%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第一選區,中國國民黨,3480,9.03%,,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第一選區,台灣團結聯盟,4227,7.05%,,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第10選區,民主進步黨,10092,14.75%,,否
黃國書,男,1964,"1998-87年縣市議員選舉 > 區域",臺中市第1選區,民主進步黨,5280,10.90%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第一選區,民主進步黨,4514,11.71%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第一選區,民主進步黨,8847,14.76%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第10選區,民主進步黨,20020,29.26%,*,否
張雪惠,女,1952,"1998-87年縣市議員選舉 > 區域",臺中市第1選區,中國國民黨,2243,4.63%,,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第一選區,中國國民黨,1756,4.56%,,否
張宏年,男,1952,"1998-87年縣市議員選舉 > 區域",臺中市第1選區,中國國民黨,8539,17.62%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第一選區,中國國民黨,7292,18.92%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第一選區,中國國民黨,13821,23.06%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第10選區,中國國民黨,17022,24.88%,*,否
張德榮,男,1934,"1998-87年縣市議員選舉 > 區域",臺中市第1選區,中國國民黨,5237,10.81%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第一選區,中國國民黨,4278,11.10%,*,是
林清華,男,1932,"1998-87年縣市議員選舉 > 區域",臺中市第1選區,中國國民黨,5643,11.64%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第一選區,中國國民黨,4045,10.50%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第一選區,中國國民黨,3549,5.92%,,是
蕭杰,男,1959,"1998-87年縣市議員選舉 > 區域",臺中市第1選區,民主進步黨,5544,11.44%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第一選區,民主進步黨,4084,10.60%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第一選區,民主進步黨,4750,7.92%,*,是
陳有江,男,1938,"1998-87年縣市議員選舉 > 區域",臺中市第2選區,中國國民黨,6625,13.64%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第二選區,中國國民黨,4687,12.57%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第二選區,中國國民黨,6555,10.34%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第09選區,中國國民黨,14955,20.00%,*,否
賴穎鋌,男,1962,"1998-87年縣市議員選舉 > 區域",臺中市第2選區,民主進步黨,5989,12.33%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第二選區,民主進步黨,5742,15.40%,*,是
陳天汶,男,1944,"1998-87年縣市議員選舉 > 區域",臺中市第2選區,中國國民黨,4589,9.44%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第二選區,中國國民黨,5765,15.46%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第二選區,中國國民黨,9800,15.47%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第09選區,中國國民黨,16506,22.07%,*,否
范淞育,男,1961,"1998-87年縣市議員選舉 > 區域",臺中市第2選區,民主進步黨,3926,8.08%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第二選區,民主進步黨,4667,12.52%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第二選區,民主進步黨,5621,8.87%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第09選區,民主進步黨,12888,17.23%,,否
黃坤錫,男,1954,"1998-87年縣市議員選舉 > 區域",臺中市第2選區,無,3770,7.76%,,是
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺中市選舉區,無,1818,0.42%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第二選區,無,672,1.80%,,否
廖佩春,女,1947,"1998-87年縣市議員選舉 > 區域",臺中市第2選區,中國國民黨,5028,10.35%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第二選區,中國國民黨,1626,4.36%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第二選區,中國國民黨,3621,5.71%,,是
陳坤湖,男,1953,"1998-87年縣市議員選舉 > 區域",臺中市第3選區,無,3223,5.65%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺中市選舉區,無,3596,0.98%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第三選區,無,1899,3.78%,,否
江克能,男,1947,"1998-87年縣市議員選舉 > 區域",臺中市第3選區,民主進步黨,2564,4.50%,,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第三選區,無,1701,3.39%,,否
陳福文,男,1951,"1998-87年縣市議員選舉 > 區域",臺中市第3選區,民主進步黨,5117,8.98%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第三選區,民主進步黨,5066,10.08%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第三選區,民主進步黨,6330,7.92%,*,是
李中,男,1959,"1998-87年縣市議員選舉 > 區域",臺中市第3選區,中國國民黨,3787,6.64%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第三選區,中國國民黨,2707,5.39%,,是
